Date,Open,High,Low,Close
5/31/2025,6.945,7.028,6.794,6.83
6/30/2025,6.846,6.867,6.623,6.63
7/31/2025,6.63,6.631,6.482,6.58
8/31/2025,6.582,6.582,6.304,6.322
9/30/2025,6.335,6.489,6.302,6.361
10/31/2025,6.342,6.352,5.941,6.059
11/30/2025,6.059,6.328,6.059,6.314
12/31/2025,6.3,6.3,6.125,6.154
1/31/2026,6.119,6.377,6.088,6.374
2/28/2026,6.323,6.458,6.297,6.404
3/31/2026,6.471,6.846,6.467,6.846
4/30/2026,6.708,6.957,6.555,6.886
5/31/2026,6.886,6.886,6.638,6.744
