Sektor,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,Growth_%
A,2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
B,2385678.25,2803678.9027777775,3196638.4166666665,3205550.1666666665,3408848.5833333335,3331862.25,3212389.4583333335,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
C,2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
D,2385678.25,2803678.9027777775,3196638.4166666665,3205550.1666666665,3408848.5833333335,3331862.25,3212389.4583333335,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
E,2273967.25,2495411.4583333335,3180252.0,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
F,2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
G,2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
H,2385678.25,2803678.9027777775,3166846.0,3205550.1666666665,3408848.5833333335,3331862.25,3140168.0,3507921.0,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
I,2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
J,2385678.25,2803678.9027777775,3196638.4166666665,3205550.1666666665,3408848.5833333335,3331862.25,3212389.4583333335,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
K,2385678.25,2803678.9027777775,3196638.4166666665,3205550.1666666665,3408848.5833333335,3331862.25,3212389.4583333335,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
L,2385678.25,2803678.9027777775,3196408.0,3205550.1666666665,3408848.5833333335,3331862.25,3212389.4583333335,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
"M, N",2385678.25,2803678.9027777775,3196638.4166666665,3205550.1666666665,3362435.0,3331862.25,3201338.0,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
O,2385678.25,2803678.9027777775,3196638.4166666665,3205550.1666666665,3408848.5833333335,3331862.25,3212389.4583333335,3599909.291666667,3678753.916666667,3708651.7083333335,3738672.444444445,56.7131881444803
P,2281831.0,2497251.0,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,46.610740818813184
Q,2385678.25,2648932.0,3095694.0,3161584.0,3376769.0,3317490.0,3212389.4583333335,3496223.0,3613930.0,3576257.0,3583170.0,50.19502315536472
"R, S, T, U",2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
Rata-Rata,2273967.25,2495411.4583333335,2974887.9722222225,2809651.1666666665,2899120.5833333335,2890189.25,2870768.4583333335,3085333.291666667,3162330.916666667,3286563.7083333335,3345409.333333333,47.11774469633777
Kode Sektor,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
A,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
B,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
C,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
D,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
E,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
F,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
G,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
H,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
I,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
J,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
K,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
L,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
"M, N",2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
O,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
P,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
Q,2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
"R, S, T, U",2327201.5,2688078.611111111,3058044.388888889,3022256.0555555555,3169455.777777778,3115816.5,3065652.777777778,3377183.388888889,3442150.388888889,3541739.277777778,3591198.777777778,54.31404533633113
