year,ihsg_annual_return_pct
2010,
2011,3.1991273143585186
2012,12.943518952168898
2013,-0.9847823216399432
2014,22.291293300703273
2015,-12.128296616573708
2016,15.32110750901914
2017,19.992410383049087
2018,-2.5355392446091196
2019,1.6956977964323272
2020,-5.0871492204192625
2021,10.075290935568093
2022,4.089306937252113
2023,6.16262559631473
2024,-2.6522395716531033
2025,22.133531452752543
