age,exposure_male,dx_male,expectedlife_male,qx_male,px_male,exposure_female,dx_female,expectedlife_female,qx_female,px_female
68,,87.341,15.89,0.027284,0.972716,,59.343,19.44,0.018466,0.981534
69,,75.542,15.34,0.028732,0.971268,,52.638,18.81,0.019257,0.980743
70,,69.885,14.79,0.030301,0.969699,,49.443,18.18,0.020115,0.979885
71,,67.424,14.25,0.032002,0.967998,,49.09,17.55,0.021067,0.978933
72,,71.179,13.73,0.033755,0.966245,,53.802,16.93,0.022084,0.977916
73,,58.72,13.2,0.035455,0.964545,,46.164,16.31,0.023111,0.976889
74,,55.527,12.69,0.037098,0.962902,,43.89,15.7,0.024162,0.975838
75,,55.477,12.18,0.038713,0.961287,,43.897,15.09,0.025266,0.974734
76,,62.974,11.67,0.040318,0.959682,,49.333,14.48,0.026431,0.973569
77,,56.532,11.16,0.041931,0.958069,,44.656,13.87,0.02766,0.97234
78,,52.91,10.65,0.043665,0.956335,,42.105,13.26,0.029022,0.970978
79,,53.299,10.13,0.045679,0.954321,,42.552,12.66,0.030617,0.969383
80,,50.331,9.62,0.048105,0.951895,,41.779,12.06,0.032506,0.967494
81,870.874,42.255,9.11,0.051056,0.948944,,37.619,11.47,0.034703,0.965297
82,735.488,37.796,8.6,0.054637,0.945363,972.78,35.663,10.88,0.037204,0.962796
83,592.105,30.902,8.09,0.058904,0.941096,818.58,30.209,10.3,0.039987,0.960013
84,506.748,29.44,7.6,0.063869,0.936131,721.245,29.913,9.73,0.043043,0.956957
85,444.484,23.777,7.12,0.069532,0.930468,645.024,25.017,9.16,0.046397,0.953603
86,393.011,21.497,6.65,0.075921,0.924079,578.007,23.724,8.61,0.050129,0.949871
87,355.259,19.96,6.19,0.083101,0.916899,516.269,22.451,8.06,0.054368,0.945632
88,325.513,18.729,5.76,0.091181,0.908819,459.238,20.206,7.53,0.05927,0.94073
89,289.147,16.144,5.33,0.100295,0.899705,400.056,17.128,7.0,0.065021,0.934979
90,249.966,13.73,4.93,0.11059,0.88941,337.271,13.761,6.49,0.07182,0.92818
91,214.246,12.961,4.54,0.122198,0.877802,282.613,13.024,5.99,0.079865,0.920135
92,162.923,11.928,4.17,0.13522,0.86478,205.336,11.82,5.51,0.089331,0.910669
93,119.403,7.621,3.83,0.149714,0.850286,145.346,6.934,5.05,0.100354,0.899646
94,98.78,6.659,3.5,0.165699,0.834301,122.482,5.993,4.62,0.113024,0.886976
95,78.581,5.435,3.19,0.183166,0.816834,101.672,4.807,4.2,0.127397,0.872603
96,62.829,4.654,2.91,0.202084,0.797916,84.623,4.419,3.82,0.143499,0.856501
97,50.144,3.381,2.65,0.222408,0.777592,68.352,3.36,3.46,0.161346,0.838654
98,39.235,2.201,2.41,0.244075,0.755925,54.275,2.232,3.12,0.180955,0.819045
99,29.655,1.675,2.18,0.267009,0.732991,41.748,1.929,2.81,0.202353,0.797647
100,21.425,1.241,1.98,0.291119,0.708881,30.693,1.456,2.53,0.225572,0.774428
101,15.22,923.0,1.79,0.316297,0.683703,22.816,1.227,2.26,0.250649,0.749351
102,9.03,615.0,1.62,0.342423,0.657577,13.655,887.0,2.02,0.277614,0.722386
103,5.099,295.0,1.46,0.369364,0.630636,7.751,423.0,1.8,0.306485,0.693515
104,3.915,268.0,1.32,0.396967,0.603033,6.267,376.0,1.59,0.337265,0.662735
105,3.231,168.0,1.18,0.425069,0.574931,5.519,228.0,1.4,0.36994,0.63006
106,2.705,138.0,1.06,0.453489,0.546511,4.738,223.0,1.22,0.404473,0.595527
107,2.031,100.0,0.94,0.482033,0.517967,3.499,160.0,1.05,0.440808,0.559192
108,1.49,88.0,0.81,0.510493,0.489507,2.484,144.0,0.88,0.478863,0.521137
109,922.0,78.0,0.66,0.538649,0.461351,1.508,102.0,0.69,0.518532,0.481468
110,275.0,37.0,0.43,0.566271,0.433729,425.0,70.0,0.44,0.559684,0.440316
111,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
